ts_s,ts_ms,Sensor1_raw,Sensor2_raw,Sensor3_raw,Sensor4_raw,Sensor5_raw,Sensor6_raw,Sensor7_raw,Sensor8_raw,Sensor9_raw,Sensor10_raw
353,352880,26.0,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
355,354880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
357,356880,26.0,26.25,25.75,26.75,26.0,26.25,26.25,26.0,26.0,26.5
359,358880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
361,360880,26.0,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
363,362880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
365,364880,25.75,26.25,26.0,26.75,26.0,26.25,26.25,26.0,26.0,26.5
367,366880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
369,368880,26.0,26.5,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
371,370880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
373,372880,26.0,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
3,2580,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
3,2849,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
3,3141,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
3,3352,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
4,3662,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
4,3863,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
4,4065,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
4,4266,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
4,4476,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
5,4676,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
5,4976,25.75,26.25,26.0,26.5,26.0,26.25,26.25,26.0,26.0,26.5
5,5179,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
5,5381,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
6,5588,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
6,5904,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
6,6120,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
6,6322,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
7,6523,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
7,6832,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
7,7132,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
7,7337,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
8,7648,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
8,7959,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
8,8261,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
9,8582,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
9,8925,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
9,9125,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
9,9326,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
10,9547,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
10,9748,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
10,9955,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
10,10157,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
10,10362,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
11,10574,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
11,10825,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
11,11125,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
11,11438,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
12,11648,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
12,11952,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
12,12153,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
12,12464,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
13,12766,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
13,13079,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
